group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,-1,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,-1,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,-1,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,-1,COVER_G_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,25,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,25,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,25,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,25,COVER_G_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,20,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,20,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,20,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,20,COVER_G_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,15,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,15,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,15,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,15,COVER_G_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,10,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,10,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,10,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,10,COVER_G_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,5,TRAD_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,5,TRAD_BN,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BY,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,5,COVER_G_BY,20.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BN,20.0
45-49_70's,70's,0.0093283582089552,0.0691358024691358,0.0127757143635387,5,COVER_G_BN,20.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,-1,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,-1,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,-1,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,-1,COVER_G_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,25,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,25,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,25,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,25,COVER_G_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,20,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,20,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,20,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,20,COVER_G_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,15,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,15,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,15,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,15,COVER_G_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,10,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,10,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,10,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,10,COVER_G_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,5,TRAD_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,5,TRAD_BN,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,5,COVER_G_BY,30.0
45-49_70's,70's,0.0023839137645107,0.0691358024691358,0.0127757143635387,5,COVER_G_BN,30.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BN,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BY,40.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BN,40.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,-1,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,-1,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,-1,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,-1,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,-1,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,-1,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,-1,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,-1,COVER_G_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,25,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,25,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,25,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,25,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,25,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,25,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,25,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,25,COVER_G_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,20,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,20,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,20,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,20,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,20,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,20,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,20,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,20,COVER_G_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,15,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,15,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,15,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,15,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,15,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,15,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,15,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,15,COVER_G_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,10,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,10,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,10,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,10,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,10,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,10,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,10,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,10,COVER_G_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,5,TRAD_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,5,TRAD_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,5,TRAD_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,5,TRAD_BN,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,5,COVER_G_BY,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,5,COVER_G_BY,50.0
>56_70's,70's,0.0023839137645107,0.0691358024691358,0.0108220673820651,5,COVER_G_BN,50.0
45-49_70's,70's,0.0047678275290215,0.0691358024691358,0.0127757143635387,5,COVER_G_BN,50.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,25,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,25,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,25,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,25,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,25,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,25,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,25,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,25,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,25,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,20,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,20,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,20,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,20,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,20,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,20,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,20,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,20,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,20,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,15,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,15,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,15,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,15,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,15,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,15,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,15,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,15,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,15,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,10,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,10,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,10,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,10,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,10,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,10,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,10,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,10,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,10,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,5,TRAD_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,5,TRAD_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,TRAD_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,5,TRAD_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,5,TRAD_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BY,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,5,COVER_G_BY,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,5,COVER_G_BY,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,5,COVER_G_BN,60.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,5,COVER_G_BN,60.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,5,COVER_G_BN,60.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BY,70.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,TRAD_BY,70.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,TRAD_BY,70.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,TRAD_BN,70.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,TRAD_BN,70.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,TRAD_BN,70.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BY,70.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,COVER_G_BY,70.0
45-49_70's,70's,0.011712271973466,0.0691358024691358,0.0127757143635387,-1,COVER_G_BY,70.0
35-44_70's,70's,0.0069444444444444,0.0691358024691358,0.0027233406044381,-1,COVER_G_BN,70.0
>56_70's,70's,0.0093283582089552,0.0691358024691358,0.0108220673820651,-1,COVER_G_BN,70.0
